datetime,open,high,low,close,volume
2025-10-04 07:45:00,3883.06,3883.14,3881.87,3882.43,0
2025-10-04 08:00:00,3882.43,3884.14,3882.0,3884.09,0
2025-10-04 08:15:00,3884.08,3885.66,3884.05,3884.5,0
2025-10-04 08:30:00,3884.49,3884.49,3883.75,3883.75,0
2025-10-04 08:45:00,3883.75,3883.76,3879.83,3879.83,0
2025-10-04 09:00:00,3879.84,3880.68,3878.86,3880.48,0
2025-10-04 09:15:00,3880.48,3881.71,3877.25,3877.26,0
2025-10-04 09:30:00,3877.26,3882.14,3877.25,3882.14,0
2025-10-04 09:45:00,3882.14,3886.56,3842.52,3883.56,0
2025-10-04 10:00:00,3883.57,3899.0,3883.21,3887.32,0
2025-10-04 10:15:00,3887.31,3892.75,3886.45,3888.91,0
2025-10-04 10:30:00,3888.91,3888.91,3888.6,3888.78,0
2025-10-04 10:45:00,3888.77,3889.58,3888.6,3889.42,0
2025-10-04 11:00:00,3889.42,3889.43,3889.18,3889.19,0
2025-10-04 11:15:00,3889.19,3895.28,3887.95,3889.82,0
2025-10-04 11:30:00,3889.79,3889.79,3886.86,3886.86,0
2025-10-04 11:45:00,3886.87,3887.46,3884.52,3885.01,0
2025-10-04 12:00:00,3885.01,3890.52,3885.0,3890.37,0
2025-10-04 12:15:00,3890.37,3891.46,3889.12,3891.44,0
2025-10-04 12:30:00,3891.47,3891.47,3891.24,3891.45,0
2025-10-04 12:45:00,3891.45,3892.2,3891.45,3891.67,0
2025-10-04 13:00:00,3891.68,3892.03,3890.73,3890.74,0
2025-10-04 13:15:00,3890.73,3892.03,3890.73,3892.03,0
2025-10-04 13:30:00,3892.02,3892.03,3888.16,3888.16,0
2025-10-04 13:45:00,3888.16,3891.08,3886.76,3890.49,0
2025-10-04 14:00:00,3890.48,3891.6,3890.48,3890.88,0
2025-10-04 14:15:00,3890.89,3890.89,3890.79,3890.8,0
2025-10-04 14:30:00,3890.79,3890.8,3888.41,3888.41,0
2025-10-04 14:45:00,3888.41,3888.41,3885.48,3886.02,0
2025-10-04 15:00:00,3886.01,3889.59,3885.87,3887.1,0
2025-10-04 15:15:00,3887.06,3887.07,3885.73,3885.73,0
2025-10-04 15:30:00,3885.73,3885.73,3885.2,3885.3,0
2025-10-04 15:45:00,3885.31,3890.15,3885.0,3889.65,0
2025-10-04 16:00:00,3889.65,3891.64,3887.87,3887.88,0
2025-10-04 16:15:00,3887.88,3888.22,3887.88,3888.21,0
2025-10-04 16:30:00,3888.21,3892.64,3888.21,3892.64,0
2025-10-04 16:45:00,3892.65,3892.92,3887.11,3889.41,0
2025-10-04 17:00:00,3889.6,3889.86,3885.89,3885.9,0
2025-10-04 17:15:00,3885.89,3889.22,3885.08,3889.22,0
2025-10-04 17:30:00,3889.33,3889.33,3886.66,3887.75,0
2025-10-04 17:45:00,3887.76,3887.76,3886.0,3886.01,0
2025-10-04 18:00:00,3886.01,3889.5,3886.01,3887.25,0
2025-10-04 18:15:00,3887.25,3887.25,3886.37,3886.41,0
2025-10-04 18:30:00,3886.42,3887.74,3886.12,3886.12,0
2025-10-04 18:45:00,3886.12,3889.17,3886.12,3888.88,0
2025-10-04 19:00:00,3888.89,3889.17,3886.55,3886.57,0
2025-10-04 19:15:00,3886.57,3889.31,3886.56,3889.3,0
2025-10-04 19:30:00,3889.31,3890.08,3889.3,3890.08,0
2025-10-04 19:45:00,3890.18,3890.19,3889.84,3889.84,0
2025-10-04 20:00:00,3889.84,3891.46,3889.84,3890.98,0
2025-10-04 20:15:00,3890.98,3890.98,3888.55,3888.55,0
2025-10-04 20:30:00,3888.56,3888.56,3888.41,3888.41,0
2025-10-04 20:45:00,3888.34,3889.79,3888.34,3889.32,0
2025-10-04 21:00:00,3889.31,3889.72,3889.31,3889.71,0
2025-10-04 21:15:00,3889.71,3889.71,3888.27,3888.28,0
2025-10-04 21:30:00,3888.27,3890.27,3888.27,3890.27,0
